id,name,tag
1308741,独自等待,"爱情,爱情,浪漫,成长,喜剧,剧情,独自等待,伍仕贤,中国大陆,夏雨,李冰冰,龚蓓苾,"
1292659,变脸 Face/Off,"动作,科幻,惊悚,犯罪,变脸,Face/Off,吴宇森,美国,约翰,特拉沃尔塔,尼古拉斯,"
1891179,梅兰芳,"传记,陈凯歌,剧情,历史,中国电影,梅兰芳,陈凯歌,中国大陆,黎明,章子怡,孙红雷,"
1292062,美国丽人 American Beauty,"人生,剧情,爱情,家庭,美国丽人,American,Beauty,萨姆·门德斯,美国,凯文,史派西,安妮特,"
1981242,午夜巴塞罗那 Vicky Cristina Barcelona,"美国,ScarlettJohansson,生活,生活,爱情,剧情,浪漫,午夜巴塞罗那,Vicky,Cristina,Barcelona,伍迪·艾伦,西班牙,美国,丽贝卡,豪尔,斯嘉丽,"
1291552,指环王3：王者无敌 The Lord of the Rings: The Return of the King,"魔幻,战争,英国,魔幻,奇幻,传奇,动作,冒险,勇气,剧情,史诗,指环王3：王者无敌,The,Lord,of,the,Rings:,The,Return,of,the,King,彼得·杰克逊,美国,新西兰,伊利亚,伍德,西恩,"
1777612,阳光小美女 Little Miss Sunshine,"美国,美国,生活,家庭,剧情,喜剧,阳光小美女,Little,Miss,Sunshine,乔纳森·戴顿维莱莉·法瑞斯,美国,阿比盖尔,布雷斯林,格雷戈,"
1820156,我是传奇 I Am Legend,"惊悚,动作,冒险,科幻,黑色,剧情,我是传奇,I,Am,Legend,弗朗西斯·劳伦斯,美国,威尔,史密斯,艾莉丝,"
3007773,海盗电台 The Boat That Rocked,"摇滚,音乐,自由,剧情,喜剧,海盗电台,The,Boat,That,Rocked,理查德·柯蒂斯,英国,德国,法国,比尔,奈伊,肯尼思,"
1298038,诺丁山 Notting Hill,"爱情,生活,喜剧,浪漫,诺丁山,Notting,Hill,罗杰·米歇尔,英国,美国,朱莉娅,罗伯茨,休,"
1766086,太阳照常升起,"姜文,生活,奇幻,剧情,中国,太阳照常升起,姜文,中国大陆,房祖名,周韵,姜文,"
4237879,人在囧途,"生活,生活,香港,喜剧,人在囧途,叶伟民,中国大陆,徐峥,王宝强,李曼,"
1329950,达·芬奇密码 The Da Vinci Code,"悬疑,惊悚,美国,达·芬奇密码,The,Da,Vinci,Code,朗·霍华德,美国,马耳他,法国,英国,汤姆,汉克斯,奥黛丽,"
1291870,雨人 Rain Man,"TomCruise,生活,亲情,剧情,雨人,Rain,Man,巴瑞·莱文森,美国,达斯汀,霍夫曼,汤姆,"
1292287,新龙门客栈 新龍門客棧,"甄子丹,动作,爱情,武侠,古装,香港电影,新龙门客栈,新龍門客棧,李惠民,中国香港,中国大陆,张曼玉,林青霞,梁家辉,"
1292371,四月物语 四月物語,"生活,爱情,青春,四月物语,四月物語,岩井俊二,日本,松隆子,田边诚一,藤井香织,"
1297359,幽灵公主 もののけ姫,"动画,奇幻,宫崎骏,冒险,日本,幽灵公主,もののけ姫,宫崎骏,日本,松田洋治,石田百合子,田中裕子,"
1291858,鬼子来了,"中国,日本,生活,喜剧,剧情,姜文,鬼子来了,姜文,中国大陆,姜文,香川照之,袁丁,"
